count,o,label
15313,http://purl.obolibrary.org/obo/BFO_0000050,part of
160,http://purl.obolibrary.org/obo/RO_0002150,continuous_with
632,http://purl.obolibrary.org/obo/RO_0002433,contributes to morphology of
964,http://purl.obolibrary.org/obo/RO_0002176,connects
2180,http://purl.obolibrary.org/obo/RO_0002202,develops_from
106,http://purl.obolibrary.org/obo/RO_0002551,has skeleton
791,http://purl.obolibrary.org/obo/BFO_0000051,has part
133,http://purl.obolibrary.org/obo/RO_0002495,immediate transformation of
60,http://purl.obolibrary.org/obo/BSPO_0001107,immediately_deep_to
531,http://purl.obolibrary.org/obo/RO_0002473,composed primarily of
197,http://purl.obolibrary.org/obo/RO_0002254,has developmental contribution from
222,http://purl.obolibrary.org/obo/BSPO_0000126,in_lateral_side_of
34,http://purl.obolibrary.org/obo/RO_0002492,existence ends during
267,http://purl.obolibrary.org/obo/RO_0002371,attaches_to
21,http://purl.obolibrary.org/obo/RO_0002180,has component
336,http://purl.obolibrary.org/obo/RO_0002387,has potential to develop into
228,http://purl.obolibrary.org/obo/RO_0001025,located_in
14,http://purl.obolibrary.org/obo/RO_0001015,location_of
227,http://purl.obolibrary.org/obo/uberon/core#extends_fibers_into,extends_fibers_into
35,http://purl.obolibrary.org/obo/uberon/core#channel_for,channel for
25,http://purl.obolibrary.org/obo/uberon/core#channels_from,channels_from
18,http://purl.obolibrary.org/obo/uberon/core#channels_into,channels_into
83,http://purl.obolibrary.org/obo/uberon/core#conduit_for,conduit for
473,http://purl.obolibrary.org/obo/RO_0002220,adjacent_to
2,http://purl.obolibrary.org/obo/RO_0002496,existence starts during or after
1,http://purl.obolibrary.org/obo/RO_0002497,existence ends during or before
1,http://purl.obolibrary.org/obo/RO_0002002,has boundary
13,http://purl.obolibrary.org/obo/BFO_0000062,preceded_by
3,http://purl.obolibrary.org/obo/BFO_0000063,precedes
7,http://purl.obolibrary.org/obo/RO_0002087,immediately_preceded_by
3,http://purl.obolibrary.org/obo/RO_0002229,ends
50,http://purl.obolibrary.org/obo/RO_0002219,surrounded_by
12,http://purl.obolibrary.org/obo/RO_0002285,developmentally_replaces
30,http://purl.obolibrary.org/obo/RO_0002256,developmentally_induced_by
16,http://purl.obolibrary.org/obo/RO_0002488,existence starts during
1,http://purl.obolibrary.org/obo/RO_0002224,starts with
1,http://purl.obolibrary.org/obo/RO_0002230,ends with
5,http://purl.obolibrary.org/obo/RO_0002223,starts
57,http://purl.obolibrary.org/obo/RO_0002494,transformation of
88,http://purl.obolibrary.org/obo/RO_0002007,bounding layer of
103,http://purl.obolibrary.org/obo/RO_0002221,surrounds
17,http://purl.obolibrary.org/obo/BSPO_0000096,anterior_to
6,http://purl.obolibrary.org/obo/BSPO_0001106,proximalmost_part_of
175,http://purl.obolibrary.org/obo/RO_0002572,luminal space of
35,http://purl.obolibrary.org/obo/uberon/core#subdivision_of,subdivision of
34,http://purl.obolibrary.org/obo/RO_0002351,has member
83,http://purl.obolibrary.org/obo/RO_0003001,produced_by
16,http://purl.obolibrary.org/obo/BSPO_0000098,dorsal_to
13,http://purl.obolibrary.org/obo/RO_0001019,contains
406,http://purl.obolibrary.org/obo/RO_0002372,has_muscle_origin
433,http://purl.obolibrary.org/obo/RO_0002373,has_muscle_insertion
27,http://purl.obolibrary.org/obo/uberon/core#existence_starts_and_ends_during,existence starts and ends during
195,http://purl.obolibrary.org/obo/RO_0002134,innervates
395,http://purl.obolibrary.org/obo/RO_0002380,branching_part_of
342,http://purl.obolibrary.org/obo/RO_0002005,innervated_by
6,http://purl.obolibrary.org/obo/RO_0002177,attaches_to_part_of
32,http://purl.obolibrary.org/obo/RO_0003000,produces
134,http://purl.obolibrary.org/obo/RO_0002179,drains
93,http://purl.obolibrary.org/obo/BSPO_0000120,in_left_side_of
108,http://purl.obolibrary.org/obo/RO_0002170,connected to
223,http://purl.obolibrary.org/obo/RO_0002178,supplies
18,http://purl.obolibrary.org/obo/uberon/core#sexually_homologous_to,sexually_homologous_to
11,http://purl.obolibrary.org/obo/RO_0002489,existence starts with
9,http://purl.obolibrary.org/obo/RO_0002493,existence ends with
34,http://purl.obolibrary.org/obo/BSPO_0005001,intersects_midsagittal_plane_of
20,http://purl.obolibrary.org/obo/BSPO_0000123,in_anterior_side_of
43,http://purl.obolibrary.org/obo/uberon/core#anteriorly_connected_to,anteriorly connected to
1,http://purl.obolibrary.org/obo/uberon/core#posteriorly_connected_to,posteriorly connected to
59,http://purl.obolibrary.org/obo/uberon/core#proximally_connected_to,proximally connected to
33,http://purl.obolibrary.org/obo/uberon/core#distally_connected_to,distally connected to
11,http://purl.obolibrary.org/obo/BSPO_0001113,preaxialmost_part_of
9,http://purl.obolibrary.org/obo/BSPO_0001108,distalmost_part_of
11,http://purl.obolibrary.org/obo/BSPO_0000099,posterior_to
174,http://purl.obolibrary.org/obo/RO_0002376,tributary_of
96,http://purl.obolibrary.org/obo/RO_0002568,has_muscle_antagonist
90,http://purl.obolibrary.org/obo/BSPO_0000121,in_right_side_of
9,http://purl.obolibrary.org/obo/uberon/core#protects,protects
4,http://purl.obolibrary.org/obo/RO_0002571,lumen of
13,http://purl.obolibrary.org/obo/RO_0002226,develops_in
89,http://purl.obolibrary.org/obo/RO_0002374,has_fused_element
8,http://purl.obolibrary.org/obo/uberon/core#anastomoses_with,anastomoses with
5,http://purl.obolibrary.org/obo/uberon/core#filtered_through,filtered through
5,http://purl.obolibrary.org/obo/BSPO_0001115,postaxialmost_part_of
134,http://purl.obolibrary.org/obo/RO_0002576,skeleton of
2,http://purl.obolibrary.org/obo/RO_0002207,directly_develops_from
10,http://purl.obolibrary.org/obo/RO_0002225,develops_from_part_of
8,http://purl.obolibrary.org/obo/uberon/core#indirectly_supplies,indirectly_supplies
27,http://purl.obolibrary.org/obo/BSPO_0000122,in_posterior_side_of
15,http://purl.obolibrary.org/obo/BSPO_0000107,deep_to
19,http://purl.obolibrary.org/obo/BSPO_0000108,superficial_to
23,http://purl.obolibrary.org/obo/BSPO_0015014,immediately_superficial_to
6,http://purl.obolibrary.org/obo/RO_0002159,serially_homologous_to
10,http://purl.obolibrary.org/obo/BSPO_0000102,ventral_to
2,http://purl.obolibrary.org/obo/uberon/core#trunk_part_of,trunk_part_of
2,http://purl.obolibrary.org/obo/BSPO_0000097,distal_to
4,http://purl.obolibrary.org/obo/BSPO_0000100,proximal_to
